Nazwa;id;Rok;Zasiêg ubóstwa (%);PKB per capita;Wyn brutto;Bezr rej;Obci¹¿ demo;Wsk urb;Lud miejska;Mieszkania na 1000 mieszkañców;Nak³ady inwestycyjne sek pry;Wy¿ wyk;Wsp fem;Wsk zat kob;Inflacja;Infl (¿yw);Infl (miesz);Eme i ren brutto;Eme i rent brutto rel do przec wyn brutto;Wyd pomspol
KUJAWSKO-POMORSKIE;2;2023;19,5 ;72843;6721,48;7,1;71,6;57,9;1155424;402,9;58,3;27,4;107;48,6;10,8;15;11,2;3051,02;0,5;38627763,57
KUJAWSKO-POMORSKIE;2;2024;18,3 ;78539;7710,78;7,3;72,1;57,9;1149668;408,9;59,8;27,6;107;47;3,6;3,5;4,7;3 491,79;0,5;41134213,67
LUBELSKIE;3;2019;26,5 ;42159;4564,85;7,5;66,5;46,5;979357;373,6;47,8;27,4;106;42;2,3;5;1,6;2049,58;0,49;5391300,39
LUBELSKIE;3;2020;24,4 ;45003;4914,95;8,2;70,2;46,2;949683;382,4;46,8;29,3;107;42,8;2,8;4,8;5,1;2170,28;0,48;9034032,12
LUBELSKIE;3;2021;22,9 ;50508;5318,68;8,7;71;46,2;941638;388,7;50;27;107;45,5;4,8;2,5;5,4;2321,29;0,47;5415630,11
LUBELSKIE;3;2022;22,6 ;57467;5909,6;8;72,1;46,2;935128;395,5;60;25,8;107;46,6;15;14,8;23,5;2533,54;0,46;13305947,51
LUBELSKIE;3;2023;20,4 ;62534;6774,52;7,6;72,9;46,1;926885;402,1;54,3;29,6;107;47;10,7;15,8;11;2973,13;0,48;17515492,82
LUBELSKIE;3;2024;16,7 ;68770;7771,05;7,4;73,6;46,2;922698;409,3;52,1;31,2;107;46,6;2,8;2,2;3,4;3 391,93;0,47;10109512,72
LUBUSKIE;4;2019;11,6 ;49603;4559,96;4,9;65,8;64,9;656539;376,6;64,9;22,5;106;44,6;2,5;5,4;1,3;2098,93;0,5;3471215,14
LUBUSKIE;4;2020;11,7 ;52322;4832,07;6,3;68,3;64,7;642533;393,4;55,7;24,3;106;44,5;3;4,2;4,7;2224,21;0,5;19336305,21
LUBUSKIE;4;2021;12,8 ;59202;5286,5;5,1;69,6;64,5;635240;400,7;63;25,2;106;44,8;5,3;3,2;6,5;2384,65;0,49;14314905,96
LUBUSKIE;4;2022;13,3 ;66799;6014,38;4,4;70,8;64,3;629692;408,6;62,8;24,9;106;45,5;13,6;15,7;17,4;2616,25;0,47;3727406,02
LUBUSKIE;4;2023;12,1 ;72438;6882,46;4,3;71,7;64,1;624598;415,6;63,6;26,7;106;47,3;12,4;15,7;14,6;3086,17;0,49;5318506,55
LUBUSKIE;4;2024;11,9 ;77733;7887,19;4,5;72,3;64;620541;422,1;61,9;26,8;106;45,9;4,4;3,9;6,3;3 537,53;0,49;8630862,09
£ÓDZKIE;5;2019;14,3 ;57435;4790,1;5,4;70,2;62,4;1530967;420,5;67,9;25,8;110;46,7;2,6;5;2,4;2112,11;0,48;19324405,38
£ÓDZKIE;5;2020;14,3 ;61458;5148,38;6,2;72,4;62,1;1500809;430,6;61,9;26,8;110;47;3,6;4,7;6,7;2232,68;0,48;40652569,9
